2.1802,224.0,1434117143.0
2.234,242.0,1434169790.0
2.0187,158.0,1434178679.0
2.0187,111.0,1434205838.0
2.0456,188.0,1434322834.0
2.1533,120.0,1434413662.0
2.0994,140.0,1434463871.0
2.1264,125.0,1434678830.0
2.0994,117.0,1434849008.0
2.0994,152.0,1434855399.0
1.938,101.0,1435035789.0
1.938,249.0,1435086698.0
1.9649,148.0,1435576971.0
1.7495,164.0,1435689967.0
1.8841,109.0,1435797646.0
1.8572,146.0,1435882336.0
1.8034,100.0,1436059071.0
1.7495,147.0,1436143232.0
1.6,241.0,1436461777.0
1.65,252.0,1436543012.0
1.65,217.0,1436661419.0
1.65,100.0,1436780277.0
1.65,110.0,1436795654.0
1.67,424.0,1436882225.0
1.675,149.0,1436897317.0
1.616,149.0,1436898609.0
1.6322,164.0,1436900331.0
1.6322,161.0,1436901227.0
1.65,100.0,1436942840.0
1.65,178.0,1436943551.0
1.65,400.0,1436946138.0
1.617,149.0,1436952886.0
1.616,181.0,1436953508.0
1.63,150.0,1436968212.0
1.65,146.0,1436977020.0
1.63,159.0,1436977620.0
1.63,101.0,1436984478.0
1.65,261.0,1437008945.0
1.7728,244.0,1437096577.0
1.64,319.0,1437147034.0
1.64,448.0,1437151743.0
1.64,124.0,1437163099.0
1.7,285.0,1437309165.0
1.7,186.0,1437331765.0
1.7,118.0,1437359274.0
1.67,100.0,1437386572.0
1.66,131.0,1437396885.0
1.72,110.0,1437443899.0
1.68,162.0,1437469828.0
1.7,109.0,1437527633.0
1.7,101.0,1437543321.0
1.68,100.0,1437649106.0
1.68,124.0,1437700192.0
1.68,165.0,1437701877.0
1.68,164.0,1437702111.0
1.7,164.0,1437728369.0
1.7,336.0,1437778645.0
1.7,126.0,1437782601.0
1.72,322.0,1437823096.0
1.72,195.0,1437828176.0
1.78,113.0,1437935032.0
1.75,100.0,1437953266.0
1.71,180.0,1438046709.0
1.71,120.0,1438049815.0
1.69,106.0,1438107539.0
1.71,125.0,1438112948.0
1.71,135.0,1438133259.0
1.7,204.0,1438200374.0
1.7,150.0,1438222097.0
1.7574,150.0,1438332464.0
1.64,116.0,1438333635.0
1.69,150.0,1438505033.0
1.75,110.0,1438564124.0
1.69,126.0,1438592235.0
1.69,150.0,1438676002.0
1.78,132.0,1438838409.0
1.74,134.0,1438848120.0
1.72,276.0,1438889686.0
1.74,101.0,1438933065.0
1.71,102.0,1438933751.0
1.77,216.0,1439109531.0
1.81,102.0,1439345187.0
1.82,190.0,1439358709.0
1.75,110.0,1440576121.0
1.8,125.0,1440650988.0
1.8,100.0,1440656402.0
1.73,143.0,1440661429.0
1.775,120.0,1440750025.0
1.8,219.0,1440793235.0
1.74,125.0,1440835168.0
1.778,144.0,1441009934.0
1.81,200.0,1441047218.0
1.81,188.0,1441052683.0
1.81,281.0,1441429186.0
1.8188,164.0,1441513569.0
1.84,149.0,1442160901.0
1.8188,152.0,1442166507.0
1.8188,102.0,1442265632.0
1.84,140.0,1442307777.0
1.84,115.0,1442307778.0
1.79,192.0,1442378050.0
1.81,100.0,1442562979.0
1.8,100.0,1442616249.0
1.78,149.0,1442766296.0
1.8,100.0,1442897549.0
1.8,165.0,1442917645.0
1.8,255.0,1442920260.0
1.79,100.0,1442920757.0
1.7574,203.0,1443013493.0
1.74,147.0,1443163394.0
1.74,148.0,1443176234.0
1.81,178.0,1443526219.0
1.81,142.0,1443552271.0
1.75,105.0,1443778423.0
1.75,105.0,1443778893.0
1.85,120.0,1443801226.0
1.9,120.0,1443803188.0
1.9,174.0,1443810302.0
1.82,100.0,1443919650.0
1.83,146.0,1444015974.0
1.83,191.0,1444034871.0
1.7901,100.0,1444306650.0
1.79,158.0,1444307850.0
1.7988,111.0,1444328700.0
1.8,250.0,1444347010.0
1.7818,173.0,1444712059.0
1.7818,180.0,1444733917.0
1.78,199.0,1444772430.0
1.7818,164.0,1444796539.0
1.7818,114.0,1444798458.0
1.7818,154.0,1444810453.0
1.8388,191.0,1445048182.0
1.8,108.0,1445086437.0
1.8,186.0,1445308659.0
1.8188,250.0,1445397392.0
1.8188,300.0,1445415093.0
1.8018,194.0,1445535901.0
1.8088,107.0,1445646789.0
1.8088,200.0,1445656463.0
1.8,102.0,1445681387.0
1.8188,100.0,1445840365.0
1.81,147.0,1445861211.0
1.8,100.0,1445976305.0
1.8,117.0,1446019147.0
1.82,144.0,1446069398.0
1.83,144.0,1446338253.0
1.8612,325.0,1446372201.0
1.82,150.0,1446392856.0
1.83,182.0,1446415205.0
1.8225,179.0,1446417924.0
1.86,300.0,1446442174.0
1.8488,149.0,1446450636.0
1.82,149.0,1446469726.0
1.81,198.0,1446500508.0
1.8,264.0,1446504516.0
1.81,180.0,1446512523.0
1.79,198.0,1446539274.0
1.76,151.0,1446547152.0
1.7918,231.0,1446600148.0
1.8,100.0,1446796945.0
1.78,250.0,1446922147.0
1.76,250.0,1447160990.0
1.78,116.0,1447166649.0
1.78,100.0,1447167192.0
1.75,210.0,1447373107.0
1.8,139.0,1447396735.0
1.82,154.0,1447536305.0
1.8,100.0,1447567840.0
1.75,110.0,1447588213.0
1.768,279.0,1447659058.0
1.79,150.0,1447675842.0
1.79,100.0,1447675918.0
1.8,170.0,1447732024.0
1.786,125.0,1447762475.0
1.786,163.0,1447762516.0
1.8,100.0,1447817855.0
1.75,149.0,1447839619.0
1.8,275.0,1448150380.0
1.79,116.0,1448241947.0
1.79,123.0,1448247489.0
1.78,114.0,1448394767.0
1.77,107.0,1448407225.0
1.77,105.0,1448407610.0
